plan_id,resident_id,plan_category,plan_description,services_provided,target_value,target_date,status,case_conference_date,created_at,updated_at,services_list
1,1,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Teaching",4.2,2024-02-01,On Hold,2023-11-01,2023-10-01,2024-03-01,"['Healing', 'Legal Services', 'Teaching']"
2,1,Education,Improve participation and course completion,"Caring, Legal Services, Healing",0.85,2024-02-01,In Progress,2024-01-30,2023-10-01,2024-03-01,"['Caring', 'Legal Services', 'Healing']"
3,1,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-02-01,On Hold,2023-10-24,2023-10-01,2024-03-01,"['Teaching', 'Healing', 'Caring']"
4,2,Safety,Maintain a stable and safe environment,Legal Services,4.2,2023-11-01,On Hold,2023-11-02,2023-03-01,2023-12-01,['Legal Services']
5,2,Education,Improve participation and course completion,"Healing, Caring",0.85,2023-11-01,Open,2023-04-26,2023-03-01,2023-12-01,"['Healing', 'Caring']"
6,2,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Caring, Teaching",4.2,2023-11-01,Achieved,2023-04-21,2023-03-01,2023-12-01,"['Legal Services', 'Caring', 'Teaching']"
7,3,Safety,Maintain a stable and safe environment,Caring,4.2,2025-02-01,Open,,2024-05-01,2025-03-01,['Caring']
8,3,Education,Improve participation and course completion,"Caring, Teaching, Legal Services",0.85,2025-02-01,On Hold,2024-12-17,2024-05-01,2025-03-01,"['Caring', 'Teaching', 'Legal Services']"
9,3,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing, Teaching",4.2,2025-02-01,Open,2025-01-29,2024-05-01,2025-03-01,"['Legal Services', 'Healing', 'Teaching']"
10,4,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2025-06-01,Open,2025-06-14,2024-09-01,2025-07-01,"['Caring', 'Healing']"
11,4,Education,Improve participation and course completion,Teaching,0.85,2025-06-01,In Progress,2025-05-21,2024-09-01,2025-07-01,['Teaching']
12,4,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2025-06-01,In Progress,2025-05-06,2024-09-01,2025-07-01,"['Teaching', 'Legal Services']"
13,5,Safety,Maintain a stable and safe environment,"Healing, Teaching, Legal Services",4.2,2024-08-01,In Progress,2024-08-10,2024-01-01,2024-09-01,"['Healing', 'Teaching', 'Legal Services']"
14,5,Education,Improve participation and course completion,"Healing, Caring, Teaching",0.85,2024-08-01,In Progress,,2024-01-01,2024-09-01,"['Healing', 'Caring', 'Teaching']"
15,5,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-08-01,Achieved,2024-07-06,2024-01-01,2024-09-01,"['Teaching', 'Healing', 'Caring']"
16,6,Safety,Maintain a stable and safe environment,"Caring, Legal Services, Healing",4.2,2024-05-01,On Hold,2023-08-16,2023-08-01,2024-06-01,"['Caring', 'Legal Services', 'Healing']"
17,6,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2024-05-01,In Progress,,2023-08-01,2024-06-01,"['Legal Services', 'Healing']"
18,6,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",4.2,2024-05-01,Open,2023-12-15,2023-08-01,2024-06-01,"['Teaching', 'Caring', 'Legal Services']"
19,7,Safety,Maintain a stable and safe environment,"Caring, Healing, Legal Services",4.2,2025-01-01,In Progress,2024-12-20,2024-06-01,2025-02-01,"['Caring', 'Healing', 'Legal Services']"
20,7,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2025-01-01,In Progress,2024-08-02,2024-06-01,2025-02-01,"['Legal Services', 'Healing']"
21,7,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services, Teaching",4.2,2025-01-01,Open,2024-11-25,2024-06-01,2025-02-01,"['Healing', 'Legal Services', 'Teaching']"
22,8,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2024-06-01,Achieved,,2024-02-01,2024-07-01,"['Healing', 'Teaching']"
23,8,Education,Improve participation and course completion,"Teaching, Caring, Legal Services",0.85,2024-06-01,Open,2024-04-05,2024-02-01,2024-07-01,"['Teaching', 'Caring', 'Legal Services']"
24,8,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-06-01,Open,2024-02-10,2024-02-01,2024-07-01,"['Caring', 'Healing']"
