snapshot_id,snapshot_date,headline,summary_text,metric_payload_json,is_published,published_at,metric_month,metric_avg_health_score,metric_avg_education_progress,metric_total_residents,metric_donations_total_for_month
1,2023-01-01,Lighthouse Sanctuary Impact Update - January 2023,"Anonymized aggregate report: 60 residents active, average health score 3.03, average education progress 33.9%.","{'month': '2023-01', 'avg_health_score': 3.03, 'avg_education_progress': 33.9, 'total_residents': 60, 'donations_total_for_month': 1379.92}",True,2023-01-01,2023-01,3.03,33.9,60,1379.92
2,2023-02-01,Lighthouse Sanctuary Impact Update - February 2023,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 51.05%.","{'month': '2023-02', 'avg_health_score': 3.13, 'avg_education_progress': 51.05, 'total_residents': 60, 'donations_total_for_month': 2065.15}",True,2023-02-01,2023-02,3.13,51.05,60,2065.15
3,2023-03-01,Lighthouse Sanctuary Impact Update - March 2023,"Anonymized aggregate report: 60 residents active, average health score 3.16, average education progress 60.57%.","{'month': '2023-03', 'avg_health_score': 3.16, 'avg_education_progress': 60.57, 'total_residents': 60, 'donations_total_for_month': 9577.83}",True,2023-03-01,2023-03,3.16,60.57,60,9577.83
4,2023-04-01,Lighthouse Sanctuary Impact Update - April 2023,"Anonymized aggregate report: 60 residents active, average health score 3.2, average education progress 69.15%.","{'month': '2023-04', 'avg_health_score': 3.2, 'avg_education_progress': 69.15, 'total_residents': 60, 'donations_total_for_month': 5401.47}",True,2023-04-01,2023-04,3.2,69.15,60,5401.47
5,2023-05-01,Lighthouse Sanctuary Impact Update - May 2023,"Anonymized aggregate report: 60 residents active, average health score 3.2, average education progress 78.85%.","{'month': '2023-05', 'avg_health_score': 3.2, 'avg_education_progress': 78.85, 'total_residents': 60, 'donations_total_for_month': 4862.09}",True,2023-05-01,2023-05,3.2,78.85,60,4862.09
6,2023-06-01,Lighthouse Sanctuary Impact Update - June 2023,"Anonymized aggregate report: 60 residents active, average health score 3.23, average education progress 78.91%.","{'month': '2023-06', 'avg_health_score': 3.23, 'avg_education_progress': 78.91, 'total_residents': 60, 'donations_total_for_month': 1306.86}",True,2023-06-01,2023-06,3.23,78.91,60,1306.86
7,2023-07-01,Lighthouse Sanctuary Impact Update - July 2023,"Anonymized aggregate report: 60 residents active, average health score 3.19, average education progress 79.46%.","{'month': '2023-07', 'avg_health_score': 3.19, 'avg_education_progress': 79.46, 'total_residents': 60, 'donations_total_for_month': 6592.33}",True,2023-07-01,2023-07,3.19,79.46,60,6592.33
8,2023-08-01,Lighthouse Sanctuary Impact Update - August 2023,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 81.2%.","{'month': '2023-08', 'avg_health_score': 3.13, 'avg_education_progress': 81.2, 'total_residents': 60, 'donations_total_for_month': 4897.48}",True,2023-08-01,2023-08,3.13,81.2,60,4897.48
9,2023-09-01,Lighthouse Sanctuary Impact Update - September 2023,"Anonymized aggregate report: 60 residents active, average health score 3.09, average education progress 84.18%.","{'month': '2023-09', 'avg_health_score': 3.09, 'avg_education_progress': 84.18, 'total_residents': 60, 'donations_total_for_month': 2676.03}",True,2023-09-01,2023-09,3.09,84.18,60,2676.03
10,2023-10-01,Lighthouse Sanctuary Impact Update - October 2023,"Anonymized aggregate report: 60 residents active, average health score 3.12, average education progress 79.91%.","{'month': '2023-10', 'avg_health_score': 3.12, 'avg_education_progress': 79.91, 'total_residents': 60, 'donations_total_for_month': 4543.2}",True,2023-10-01,2023-10,3.12,79.91,60,4543.2
11,2023-11-01,Lighthouse Sanctuary Impact Update - November 2023,"Anonymized aggregate report: 60 residents active, average health score 3.15, average education progress 81.89%.","{'month': '2023-11', 'avg_health_score': 3.15, 'avg_education_progress': 81.89, 'total_residents': 60, 'donations_total_for_month': 6302.16}",True,2023-11-01,2023-11,3.15,81.89,60,6302.16
12,2023-12-01,Lighthouse Sanctuary Impact Update - December 2023,"Anonymized aggregate report: 60 residents active, average health score 3.13, average education progress 81.07%.","{'month': '2023-12', 'avg_health_score': 3.13, 'avg_education_progress': 81.07, 'total_residents': 60, 'donations_total_for_month': 17960.36}",True,2023-12-01,2023-12,3.13,81.07,60,17960.36
13,2024-01-01,Lighthouse Sanctuary Impact Update - January 2024,"Anonymized aggregate report: 60 residents active, average health score 3.08, average education progress 74.59%.","{'month': '2024-01', 'avg_health_score': 3.08, 'avg_education_progress': 74.59, 'total_residents': 60, 'donations_total_for_month': 5840.11}",True,2024-01-01,2024-01,3.08,74.59,60,5840.11
14,2024-02-01,Lighthouse Sanctuary Impact Update - February 2024,"Anonymized aggregate report: 60 residents active, average health score 3.1, average education progress 73.95%.","{'month': '2024-02', 'avg_health_score': 3.1, 'avg_education_progress': 73.95, 'total_residents': 60, 'donations_total_for_month': 1875.32}",True,2024-02-01,2024-02,3.1,73.95,60,1875.32
15,2024-03-01,Lighthouse Sanctuary Impact Update - March 2024,"Anonymized aggregate report: 60 residents active, average health score 3.11, average education progress 76.67%.","{'month': '2024-03', 'avg_health_score': 3.11, 'avg_education_progress': 76.67, 'total_residents': 60, 'donations_total_for_month': 2776.28}",True,2024-03-01,2024-03,3.11,76.67,60,2776.28
16,2024-04-01,Lighthouse Sanctuary Impact Update - April 2024,"Anonymized aggregate report: 60 residents active, average health score 3.14, average education progress 78.3%.","{'month': '2024-04', 'avg_health_score': 3.14, 'avg_education_progress': 78.3, 'total_residents': 60, 'donations_total_for_month': 3833.67}",True,2024-04-01,2024-04,3.14,78.3,60,3833.67
17,2024-05-01,Lighthouse Sanctuary Impact Update - May 2024,"Anonymized aggregate report: 60 residents active, average health score 3.17, average education progress 77.23%.","{'month': '2024-05', 'avg_health_score': 3.17, 'avg_education_progress': 77.23, 'total_residents': 60, 'donations_total_for_month': 767.63}",True,2024-05-01,2024-05,3.17,77.23,60,767.63
18,2024-06-01,Lighthouse Sanctuary Impact Update - June 2024,"Anonymized aggregate report: 60 residents active, average health score 3.12, average education progress 71.84%.","{'month': '2024-06', 'avg_health_score': 3.12, 'avg_education_progress': 71.84, 'total_residents': 60, 'donations_total_for_month': 3711.84}",True,2024-06-01,2024-06,3.12,71.84,60,3711.84
19,2024-07-01,Lighthouse Sanctuary Impact Update - July 2024,"Anonymized aggregate report: 60 residents active, average health score 3.16, average education progress 76.78%.","{'month': '2024-07', 'avg_health_score': 3.16, 'avg_education_progress': 76.78, 'total_residents': 60, 'donations_total_for_month': 4109.89}",True,2024-07-01,2024-07,3.16,76.78,60,4109.89
20,2024-08-01,Lighthouse Sanctuary Impact Update - August 2024,"Anonymized aggregate report: 60 residents active, average health score 3.15, average education progress 76.61%.","{'month': '2024-08', 'avg_health_score': 3.15, 'avg_education_progress': 76.61, 'total_residents': 60, 'donations_total_for_month': 7299.28}",True,2024-08-01,2024-08,3.15,76.61,60,7299.28
